Disease_category,Disease,Protein,Protein_definition,NB_individual,NB_case,OR[95%CI],P_value
Chapter V Mental and behavioural disorders,"Anxiety disorders, excluding more controls",ACY1,Aminoacylase-1,18534,111,0.65 [0.49-0.87],0.0030189233528963
Chapter V Mental and behavioural disorders,"Anxiety disorders, excluding more controls",ADAM12,Disintegrin and metalloproteinase domain-containing protein 12,15745,90,2.00 [1.22-3.28],0.0060365256483511
Chapter V Mental and behavioural disorders,"Anxiety disorders, excluding more controls",ADAMTS13,A disintegrin and metalloproteinase with thrombospondin motifs 13,18749,111,0.37 [0.20-0.71],0.0024896401686111
Chapter V Mental and behavioural disorders,"Anxiety disorders, excluding more controls",ADM,Pro-adrenomedullin,18669,109,4.54 [2.38-8.64],4.208379939993168e-06
Chapter V Mental and behavioural disorders,"Anxiety disorders, excluding more controls",AHNAK,Neuroblast differentiation-associated protein AHNAK,15832,90,2.05 [1.23-3.39],0.0054877031620556
Chapter V Mental and behavioural disorders,"Anxiety disorders, excluding more controls",AMBP,Protein AMBP,18637,109,3.19 [1.48-6.90],0.0031613594799566
Chapter V Mental and behavioural disorders,"Anxiety disorders, excluding more controls",AMIGO2,Amphoterin-induced protein 2,18441,110,0.33 [0.16-0.66],0.0017338239873549
Chapter V Mental and behavioural disorders,"Anxiety disorders, excluding more controls",AREG,Amphiregulin,18441,110,1.58 [1.12-2.23],0.0089232924870206
Chapter V Mental and behavioural disorders,"Anxiety disorders, excluding more controls",ARSA,Arylsulfatase A,18534,109,0.58 [0.38-0.88],0.0097801161108293
Chapter V Mental and behavioural disorders,"Anxiety disorders, excluding more controls",ASGR1,Asialoglycoprotein receptor 1,18350,109,2.41 [1.47-3.96],0.0004778232447489
Chapter V Mental and behavioural disorders,"Anxiety disorders, excluding more controls",BTN2A1,Butyrophilin subfamily 2 member A1,18607,109,2.10 [1.22-3.63],0.0076021100203851
Chapter V Mental and behavioural disorders,"Anxiety disorders, excluding more controls",CACNB1,Voltage-dependent L-type calcium channel subunit beta-1,15678,90,1.57 [1.22-2.02],0.0005469397255383
Chapter V Mental and behavioural disorders,"Anxiety disorders, excluding more controls",CBLN4,Cerebellin-4,18669,109,0.51 [0.31-0.83],0.0071726436995111
Chapter V Mental and behavioural disorders,"Anxiety disorders, excluding more controls",CCN3,CCN family member 3,18722,111,1.90 [1.27-2.85],0.0017437669670185
Chapter V Mental and behavioural disorders,"Anxiety disorders, excluding more controls",CD300E,CMRF35-like molecule 2,18607,109,1.77 [1.24-2.53],0.0017859033523928
Chapter V Mental and behavioural disorders,"Anxiety disorders, excluding more controls",CD302,CD302 antigen,18441,110,2.07 [1.32-3.23],0.0013924862651271
Chapter V Mental and behavioural disorders,"Anxiety disorders, excluding more controls",CD4,T-cell surface glycoprotein CD4,18459,107,2.00 [1.41-2.84],0.0001019738541208
Chapter V Mental and behavioural disorders,"Anxiety disorders, excluding more controls",CDC123,Cell division cycle protein 123 homolog,15646,86,0.47 [0.30-0.73],0.0008021778259493
Chapter V Mental and behavioural disorders,"Anxiety disorders, excluding more controls",CDH3,Cadherin-3,18671,110,1.89 [1.27-2.82],0.0016592782677219
Chapter V Mental and behavioural disorders,"Anxiety disorders, excluding more controls",CDSN,Corneodesmosin,18651,111,1.78 [1.24-2.57],0.0017588194906088
Chapter V Mental and behavioural disorders,"Anxiety disorders, excluding more controls",CHGA,Chromogranin-A,16234,91,1.32 [1.12-1.56],0.0011308036727391
Chapter V Mental and behavioural disorders,"Anxiety disorders, excluding more controls",CKB,Creatine kinase B-type,16234,91,1.64 [1.20-2.26],0.0021846890332197
Chapter V Mental and behavioural disorders,"Anxiety disorders, excluding more controls",CLMP,CXADR-like membrane protein,18669,109,2.73 [1.36-5.50],0.0048243457617851
Chapter V Mental and behavioural disorders,"Anxiety disorders, excluding more controls",CNTN3,Contactin-3,18534,109,0.41 [0.25-0.68],0.0005231595448383
Chapter V Mental and behavioural disorders,"Anxiety disorders, excluding more controls",CNTN4,Contactin-4,18534,109,0.37 [0.19-0.72],0.0033964868422423
Chapter V Mental and behavioural disorders,"Anxiety disorders, excluding more controls",COL15A1,Collagen alpha-1(XV) chain,16234,91,2.36 [1.27-4.40],0.0068749226962695
