Disease_category,Disease,Protein,Protein_definition,NB_individual,NB_case,OR[95%CI],P_value
Chapter XI Diseases of the digestive system,Diverticular disease of intestine,ACE2,Angiotensin-converting enzyme 2,15242,890,1.22 [1.10-1.35],0.0001723105314052
Chapter XI Diseases of the digestive system,Diverticular disease of intestine,ACHE,Acetylcholinesterase,13331,756,0.75 [0.60-0.93],0.0091990503233764
Chapter XI Diseases of the digestive system,Diverticular disease of intestine,ACTA2,"Actin, aortic smooth muscle",15242,890,1.25 [1.10-1.41],0.0005119155542915
Chapter XI Diseases of the digestive system,Diverticular disease of intestine,ACVRL1,Serine/threonine-protein kinase receptor R3,15341,894,1.51 [1.21-1.89],0.0002340452620046
Chapter XI Diseases of the digestive system,Diverticular disease of intestine,ADA2,Adenosine deaminase 2,15464,908,1.24 [1.09-1.42],0.0015853984995837
Chapter XI Diseases of the digestive system,Diverticular disease of intestine,ADAM12,Disintegrin and metalloproteinase domain-containing protein 12,13195,736,1.61 [1.33-1.97],1.9822939144164685e-06
Chapter XI Diseases of the digestive system,Diverticular disease of intestine,ADAM9,Disintegrin and metalloproteinase domain-containing protein 9,13545,761,1.62 [1.29-2.03],3.212400531624129e-05
Chapter XI Diseases of the digestive system,Diverticular disease of intestine,ADAMTS15,A disintegrin and metalloproteinase with thrombospondin motifs 15,15441,906,1.32 [1.14-1.52],0.0001445991929147
Chapter XI Diseases of the digestive system,Diverticular disease of intestine,ADAMTS4,A disintegrin and metalloproteinase with thrombospondin motifs 4,13195,736,1.35 [1.10-1.65],0.0038238252597004
Chapter XI Diseases of the digestive system,Diverticular disease of intestine,ADAMTS8,A disintegrin and metalloproteinase with thrombospondin motifs 8,15584,911,0.68 [0.59-0.78],1.849065081159739e-08
Chapter XI Diseases of the digestive system,Diverticular disease of intestine,ADAMTSL2,ADAMTS-like protein 2,13619,770,1.48 [1.22-1.80],8.474056303377251e-05
Chapter XI Diseases of the digestive system,Diverticular disease of intestine,ADM,Pro-adrenomedullin,15655,915,1.88 [1.49-2.37],1.193563814400505e-07
Chapter XI Diseases of the digestive system,Diverticular disease of intestine,AGR2,Anterior gradient protein 2 homolog,15053,878,1.19 [1.12-1.26],3.0440691844814626e-08
Chapter XI Diseases of the digestive system,Diverticular disease of intestine,AGR3,Anterior gradient protein 3,15140,881,1.22 [1.10-1.35],0.000105946991533
Chapter XI Diseases of the digestive system,Diverticular disease of intestine,AGRN,Agrin,15599,920,1.36 [1.16-1.60],0.0002031923416371
Chapter XI Diseases of the digestive system,Diverticular disease of intestine,AMBP,Protein AMBP,15627,914,2.42 [1.81-3.23],2.3599823413930673e-09
Chapter XI Diseases of the digestive system,Diverticular disease of intestine,ANG,Angiogenin,15523,913,1.40 [1.18-1.66],0.0001268236949081
Chapter XI Diseases of the digestive system,Diverticular disease of intestine,ANGPT2,Angiopoietin-2,15655,915,1.28 [1.10-1.49],0.001548597005979
