Protein,Protein_definition,Trait_category,Trait,sample_size,Estimated_effect,se,lowerCI,upperCI,Pvalue
LRRC59,Leucine-rich repeat-containing protein 59,Lifestyle factors,X29168#1.Sports and social activities attended virtually at least once a week_Sports club or gym or fitness class,14500,-0.00579943687265666,0.0140006837458302,-0.0332407770144839,0.0216419032691706,0.678715276808288
LRRC59,Leucine-rich repeat-containing protein 59,Lifestyle factors,X29168#2.Sports and social activities attended virtually at least once a week_Pub or social club,14500,0.0220712870093839,0.021754271965852,-0.020567086043686,0.0647096600624538,0.310326578655564
LRRC59,Leucine-rich repeat-containing protein 59,Lifestyle factors,X29168#3.Sports and social activities attended virtually at least once a week_Religious group,14500,0.0261588983466026,0.0193975856092074,-0.011860369447444,0.0641781661406491,0.177497922432595
LRRC59,Leucine-rich repeat-containing protein 59,Lifestyle factors,X29168#4.Sports and social activities attended virtually at least once a week_Adult education class,14500,0.00153222767375502,0.0287836775901935,-0.0548837804030241,0.0579482357505342,0.957547379696307
LRRC59,Leucine-rich repeat-containing protein 59,Lifestyle factors,X29168#5.Sports and social activities attended virtually at least once a week_Other group activity,14500,0.000807162255010665,0.0136162428681712,-0.0258806737666048,0.0274949982766262,0.952730412837651
LRRC59,Leucine-rich repeat-containing protein 59,Mental health,X29171.Frequency of feeling 'in tune' with people,14256,0.0281018100307398,0.0402114365187669,-0.0507126055460433,0.106916225607523,0.484656449881758
LRRC59,Leucine-rich repeat-containing protein 59,Mental health,X29172.Freuency of feeling that lacks companionship,14443,-0.0336886858953221,0.0366050699419516,-0.105434622981547,0.0380572511909031,0.35741655294208
LRRC59,Leucine-rich repeat-containing protein 59,Mental health,X29173.Frequency of feeling left out,14364,0.00854680925602785,0.0377550958292379,-0.0654531785692785,0.0825467970813342,0.820913006439884
LRRC59,Leucine-rich repeat-containing protein 59,Mental health,X29174.Frequency of feeling isolated from others,14419,-0.000552879078499587,0.0390858251974775,-0.0771610964655554,0.0760553383085562,0.98871428936589
LRRC59,Leucine-rich repeat-containing protein 59,Mental health,X29175.Tendency to bounce back quickly after hard times,14532,0.0457837197792788,0.0321873784374609,-0.0173035419581445,0.108870981516702,0.154928112259697
