Disease_category,Disease,Protein,Protein_definition,NB_individual,NB_case,OR[95%CI],P_value
Chapter X Diseases of the respiratory system,Idiopathic pulmonary fibrosis,APBB1IP,Amyloid beta A4 precursor protein-binding family B member 1-interacting protein,25836,55,1.51 [1.00-2.26],0.0476582660271639
Chapter X Diseases of the respiratory system,Idiopathic pulmonary fibrosis,APOA1,Apolipoprotein A-I,22629,54,0.12 [0.04-0.34],7.095830008335857e-05
Chapter X Diseases of the respiratory system,Idiopathic pulmonary fibrosis,APOA4,Apolipoprotein A-IV,22629,54,0.27 [0.12-0.62],0.0019930816969188
Chapter X Diseases of the respiratory system,Idiopathic pulmonary fibrosis,APOBR,Apolipoprotein B receptor,21994,53,2.02 [1.00-4.08],0.0489170435786093
Chapter X Diseases of the respiratory system,Idiopathic pulmonary fibrosis,APOC1,Apolipoprotein C-I,22577,54,0.36 [0.17-0.75],0.0067103546393408
Chapter X Diseases of the respiratory system,Idiopathic pulmonary fibrosis,APOM,Apolipoprotein M,26004,57,0.32 [0.15-0.72],0.0056798072159762
Chapter X Diseases of the respiratory system,Idiopathic pulmonary fibrosis,ARAF,Serine/threonine-protein kinase A-Raf,22159,52,1.43 [1.05-1.95],0.0237867891502967
Chapter X Diseases of the respiratory system,Idiopathic pulmonary fibrosis,AREG,Amphiregulin,25836,55,3.44 [2.59-4.57],1.6338951417117266e-17
Chapter X Diseases of the respiratory system,Idiopathic pulmonary fibrosis,ARHGEF5,Rho guanine nucleotide exchange factor 5,21853,52,1.52 [1.17-1.97],0.0015020968944661
Chapter X Diseases of the respiratory system,Idiopathic pulmonary fibrosis,ARSA,Arylsulfatase A,25957,57,1.61 [1.04-2.49],0.0316990140865938
Chapter X Diseases of the respiratory system,Idiopathic pulmonary fibrosis,ASGR1,Asialoglycoprotein receptor 1,25781,56,3.06 [1.55-6.04],0.0012225851283457
Chapter X Diseases of the respiratory system,Idiopathic pulmonary fibrosis,ASGR2,Asialoglycoprotein receptor 2,22594,54,5.14 [2.41-10.98],2.30002194340434e-05
Chapter X Diseases of the respiratory system,Idiopathic pulmonary fibrosis,ATP2B4,Plasma membrane calcium-transporting ATPase 4,21871,51,1.57 [1.21-2.05],0.0008143568805766
Chapter X Diseases of the respiratory system,Idiopathic pulmonary fibrosis,ATRAID,All-trans retinoic acid-induced differentiation factor,22477,52,1.82 [1.28-2.59],0.0009177697186354
Chapter X Diseases of the respiratory system,Idiopathic pulmonary fibrosis,AXL,Tyrosine-protein kinase receptor UFO,26047,57,2.54 [1.18-5.51],0.0178196202115636
Chapter X Diseases of the respiratory system,Idiopathic pulmonary fibrosis,B2M,Beta-2-microglobulin,22629,54,2.14 [1.64-2.79],1.917631386661028e-08
Chapter X Diseases of the respiratory system,Idiopathic pulmonary fibrosis,B3GNT7,"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 7",21994,53,3.93 [1.96-7.89],0.0001167040242401
Chapter X Diseases of the respiratory system,Idiopathic pulmonary fibrosis,B4GALT1,"Beta-1,4-galactosyltransferase 1",26086,56,4.05 [1.93-8.49],0.0002149796532164
Chapter X Diseases of the respiratory system,Idiopathic pulmonary fibrosis,BAMBI,BMP and activin membrane-bound inhibitor homolog,25362,53,2.26 [1.19-4.29],0.0125024441844003
Chapter X Diseases of the respiratory system,Idiopathic pulmonary fibrosis,BAP18,Chromatin complexes subunit BAP18,22535,53,1.53 [1.21-1.95],0.0004720438800995
Chapter X Diseases of the respiratory system,Idiopathic pulmonary fibrosis,BCAM,Basal cell adhesion molecule,25957,57,2.99 [1.38-6.48],0.005370366656833
Chapter X Diseases of the respiratory system,Idiopathic pulmonary fibrosis,BCAT1,"Branched-chain-amino-acid aminotransferase, cytosolic",22584,53,2.05 [1.08-3.87],0.0274034660575522
Chapter X Diseases of the respiratory system,Idiopathic pulmonary fibrosis,BCL2L15,Bcl-2-like protein 15,21951,54,1.59 [1.17-2.15],0.0027809993161151
Chapter X Diseases of the respiratory system,Idiopathic pulmonary fibrosis,BLOC1S2,Biogenesis of lysosome-related organelles complex 1 subunit 2,21853,52,1.39 [1.08-1.78],0.0098119933548458
Chapter X Diseases of the respiratory system,Idiopathic pulmonary fibrosis,BMP4,Bone morphogenetic protein 4,25744,56,2.54 [1.79-3.61],1.7581880135460858e-07
Chapter X Diseases of the respiratory system,Idiopathic pulmonary fibrosis,BMPER,BMP-binding endothelial regulator protein,22109,54,3.85 [2.02-7.33],4.108636395915916e-05
Chapter X Diseases of the respiratory system,Idiopathic pulmonary fibrosis,BNIP3L,BCL2/adenovirus E1B 19 kDa protein-interacting protein 3-like,21951,54,1.80 [1.11-2.90],0.0162677102413113
Chapter X Diseases of the respiratory system,Idiopathic pulmonary fibrosis,BPIFB1,BPI fold-containing family B member 1,25883,56,2.67 [1.82-3.92],4.589949147037545e-07
