Disease_category,Disease,Protein,Protein_definition,Method,Nb_SNP,OR[95%CI],P_value
Chapter XIV Diseases of the genitourinary system,Menorrhagia,SEZ6L2,Seizure 6-like protein 2,Inverse variance weighted,14,1.22 [1.13-1.32],5.29133656430361e-07
Chapter XIV Diseases of the genitourinary system,Menorrhagia,FSHB,Follitropin subunit beta,Inverse variance weighted,3,1.96 [1.49-2.58],1.49184484422296e-06
