Trait_category,Trait,Protein,Protein_definition,sample_size,Estimated_effect,se,lowerCI,upperCI,Pvalue
Mental health,X29051#2.Manifestations of mania or irritability_More confident than usual,PER3,Period circadian protein homolog 3,31355,0.120060740934838,0.139602398517816,-0.153559960160081,0.393681442029758,0.38980597492224
Mental health,X29051#2.Manifestations of mania or irritability_More confident than usual,ART5,Ecto-ADP-ribosyltransferase 5,31342,0.0642049318259846,0.0747856269611859,-0.0823748970179397,0.210784760669909,0.390633075399425
Mental health,X29051#2.Manifestations of mania or irritability_More confident than usual,GRHPR,Glyoxylate reductase/hydroxypyruvate reductase,31571,0.0667169840818753,0.0777327765961415,-0.0856392580465621,0.219073226210313,0.390761020877188
Mental health,X29051#2.Manifestations of mania or irritability_More confident than usual,IDUA,Alpha-L-iduronidase,32794,-0.0488997069454696,0.0569764996767523,-0.160573646311904,0.0627742324209649,0.390781079114465
Mental health,X29051#2.Manifestations of mania or irritability_More confident than usual,GPI,Glucose-6-phosphate isomerase,31586,0.0493249575699846,0.0575064839968126,-0.0633877510637681,0.162037666203737,0.391068934872148
Mental health,X29051#2.Manifestations of mania or irritability_More confident than usual,EGF,Pro-epidermal growth factor,32688,0.109385754074847,0.127551360492077,-0.140614912489624,0.359386420639319,0.391146584394701
Mental health,X29051#2.Manifestations of mania or irritability_More confident than usual,IGFBP2,Insulin-like growth factor-binding protein 2,32817,-0.0652001327487005,0.0761033622687737,-0.214362722795497,0.083962457298096,0.391616319027507
Mental health,X29051#2.Manifestations of mania or irritability_More confident than usual,SORD,Sorbitol dehydrogenase,32760,-0.0721273722608931,0.0842027773471701,-0.237164815861347,0.0929100713395603,0.391693820327928
Mental health,X29051#2.Manifestations of mania or irritability_More confident than usual,GFRA2,GDNF family receptor alpha-2,32668,-0.0214093571433085,0.0249980400791685,-0.0704055156984787,0.0275868014118617,0.391776956698922
Mental health,X29051#2.Manifestations of mania or irritability_More confident than usual,GALNT2,Polypeptide N-acetylgalactosaminyltransferase 2,32794,-0.0267123316865244,0.031190016406591,-0.0878447638434427,0.0344201004703939,0.391778232459256
