Trait_category,Trait,Protein,Protein_definition,sample_size,Estimated_effect,se,lowerCI,upperCI,Pvalue
Mental health,X29065#2.Symptoms of panic attack_Sweating,SCARB1,Scavenger receptor class B member 1,32502,-0.0910062123674684,0.0378022600853725,-0.165098642134798,-0.0169137826001383,0.0160861649760113
Mental health,X29065#2.Symptoms of panic attack_Sweating,IL6R,Interleukin-6 receptor subunit alpha,32675,-0.0512858723540526,0.0213055720230444,-0.0930447935192197,-0.00952695118888557,0.016097649899962
Mental health,X29065#2.Symptoms of panic attack_Sweating,CLEC5A,C-type lectin domain family 5 member A,32696,-0.043505512716619,0.0180929468845801,-0.0789676886103961,-0.00804333682284195,0.0162125486066228
Mental health,X29065#2.Symptoms of panic attack_Sweating,FLT3LG,Fms-related tyrosine kinase 3 ligand,32833,-0.0497239503043379,0.0207855967422335,-0.0904637199191156,-0.00898418068956032,0.0167667460005258
Mental health,X29065#2.Symptoms of panic attack_Sweating,PILRA,Paired immunoglobulin-like type 2 receptor alpha,32718,-0.0630937099454483,0.0263909290195806,-0.114819930823826,-0.0113674890670704,0.0168354529463563
Mental health,X29065#2.Symptoms of panic attack_Sweating,PEPD,Xaa-Pro dipeptidase,31586,0.0402939917903388,0.0169042578680283,0.00716164636900327,0.0734263372116742,0.0171654718912876
Mental health,X29065#2.Symptoms of panic attack_Sweating,CDHR5,Cadherin-related family member 5,32729,0.0578320921199634,0.0242750784307554,0.0102529383956829,0.105411245844244,0.0172227957526596
Mental health,X29065#2.Symptoms of panic attack_Sweating,MAD1L1,Mitotic spindle assembly checkpoint protein MAD1,32621,-0.0743359728726762,0.0312982022316501,-0.13568044924671,-0.012991496498642,0.017566183529009
Mental health,X29065#2.Symptoms of panic attack_Sweating,GPKOW,G-patch domain and KOW motifs-containing protein,32502,-0.0432040098168804,0.0182751421415622,-0.0790232884143423,-0.00738473121941843,0.01809660003252
Mental health,X29065#2.Symptoms of panic attack_Sweating,FEN1,Flap endonuclease 1,32526,-0.0983046827604058,0.0415902407942842,-0.179821554717203,-0.0167878108036087,0.018117945264441
Mental health,X29065#2.Symptoms of panic attack_Sweating,ADGRV1,Adhesion G-protein coupled receptor V1,31342,-0.103320750651915,0.0438999347368051,-0.189364622736053,-0.0172768785677773,0.0186207661634764
Mental health,X29065#2.Symptoms of panic attack_Sweating,PILRB,Paired immunoglobulin-like type 2 receptor beta,32729,-0.0834454853745975,0.0357392122616344,-0.153494341407401,-0.0133966293417941,0.0195737650379239
Mental health,X29065#2.Symptoms of panic attack_Sweating,KAZALD1,Kazal-type serine protease inhibitor domain-containing protein 1,32668,0.0666340680616032,0.0285842756068973,0.0106088878720845,0.122659248251122,0.0197682026445203
Mental health,X29065#2.Symptoms of panic attack_Sweating,SEPTIN8,Septin-8,31525,-0.0495312336038205,0.021265246692992,-0.0912111171220848,-0.00785135008555611,0.0198737738956747
Mental health,X29065#2.Symptoms of panic attack_Sweating,DLGAP5,Disks large-associated protein 5,31555,-0.0786405827184407,0.0338408356173724,-0.144968620528491,-0.0123125449083909,0.0201601498824069
Mental health,X29065#2.Symptoms of panic attack_Sweating,PDGFC,Platelet-derived growth factor C,32526,0.04302389378988,0.0185299020322178,0.00670528580673314,0.0793425017730268,0.0202633760023864
Mental health,X29065#2.Symptoms of panic attack_Sweating,TDO2,"Tryptophan 2,3-dioxygenase",31356,-0.059454357556147,0.0257057459763247,-0.109837619669743,-0.00907109544255056,0.02075606784166
