Disease_category,Disease,Protein,Protein_definition,NB_individual,NB_case,OR[95%CI],P_value
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Other deformities of toe(s),ADAM12,Disintegrin and metalloproteinase domain-containing protein 12,15982,98,1.74 [1.22-2.47],0.0021087317728334
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Other deformities of toe(s),ADAMTS8,A disintegrin and metalloproteinase with thrombospondin motifs 8,18931,108,0.53 [0.36-0.77],0.0008217964050077
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Other deformities of toe(s),AGR2,Anterior gradient protein 2 homolog,18260,102,1.28 [1.09-1.50],0.0031218303063923
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Other deformities of toe(s),AOC3,Membrane primary amine oxidase,18928,109,0.48 [0.28-0.82],0.0079550442417527
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Other deformities of toe(s),ASPN,Asporin,16459,100,2.18 [1.28-3.71],0.0040801972187707
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Other deformities of toe(s),ATP6V1F,V-type proton ATPase subunit F,18394,103,1.46 [1.15-1.85],0.0018248784873292
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Other deformities of toe(s),CALCB,Calcitonin gene-related peptide 2,16422,100,1.60 [1.15-2.24],0.0054950060624311
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Other deformities of toe(s),CBLN4,Cerebellin-4,19030,109,0.30 [0.18-0.51],6.796117112744665e-06
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Other deformities of toe(s),CCN3,CCN family member 3,19066,108,2.43 [1.55-3.81],0.0001114828729554
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Other deformities of toe(s),CD276,CD276 antigen,18864,108,2.11 [1.29-3.46],0.0029357726523889
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Other deformities of toe(s),CD70,CD70 antigen,18825,108,1.80 [1.22-2.66],0.0031803816701911
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Other deformities of toe(s),CD99L2,CD99 antigen-like protein 2,18854,108,2.67 [1.35-5.29],0.0047608516536124
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Other deformities of toe(s),CELA2A,Chymotrypsin-like elastase family member 2A,16455,99,0.61 [0.45-0.83],0.0015758868180106
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Other deformities of toe(s),CHCHD10,"Coiled-coil-helix-coiled-coil-helix domain-containing protein 10, mitochondrial",16422,100,1.74 [1.16-2.62],0.0074197885326163
