Disease_category,Disease,Protein,Protein_definition,Method,Nb_SNP,OR[95%CI],P_value
Chapter X Diseases of the respiratory system,Bronchiectasis,TNFRSF1A,Tumor necrosis factor receptor superfamily member 1A,Inverse variance weighted,5,1.10 [0.65-1.85],0.718807977927662
Chapter X Diseases of the respiratory system,Bronchiectasis,MYLPF,"Myosin regulatory light chain 2, skeletal muscle isoform",Wald ratio,1,0.95 [0.31-2.91],0.928043440846781
Chapter X Diseases of the respiratory system,Bronchiectasis,VEGFA,Vascular endothelial growth factor A,Inverse variance weighted,45,0.98 [0.90-1.06],0.600103031084433
Chapter X Diseases of the respiratory system,Bronchiectasis,MMP7,Matrilysin,Inverse variance weighted,15,1.03 [0.88-1.20],0.694581309408964
Chapter X Diseases of the respiratory system,Bronchiectasis,TMSB10,Thymosin beta-10,Wald ratio,1,0.75 [0.27-2.12],0.589924723491056
Chapter X Diseases of the respiratory system,Bronchiectasis,PLA2G2A,"Phospholipase A2, membrane associated",Inverse variance weighted,23,0.99 [0.89-1.10],0.849932610625468
Chapter X Diseases of the respiratory system,Bronchiectasis,LONP1,"Lon protease homolog, mitochondrial",Inverse variance weighted,3,0.72 [0.52-0.99],0.0419096609085078
Chapter X Diseases of the respiratory system,Bronchiectasis,QPCT,Glutaminyl-peptide cyclotransferase,Inverse variance weighted,22,0.93 [0.83-1.04],0.18024290879256
Chapter X Diseases of the respiratory system,Bronchiectasis,SPP1,Osteopontin,Inverse variance weighted,19,0.97 [0.74-1.28],0.837009047220564
Chapter X Diseases of the respiratory system,Bronchiectasis,SIGLEC8,Sialic acid-binding Ig-like lectin 8,Inverse variance weighted,44,1.03 [0.95-1.12],0.465343374819151
Chapter X Diseases of the respiratory system,Bronchiectasis,CWC15,Spliceosome-associated protein CWC15 homolog,Wald ratio,1,0.84 [0.28-2.52],0.761479086661325
Chapter X Diseases of the respiratory system,Bronchiectasis,PILRA,Paired immunoglobulin-like type 2 receptor alpha,Inverse variance weighted,61,0.95 [0.89-1.01],0.122125712875017
Chapter X Diseases of the respiratory system,Bronchiectasis,POLR2F,"DNA-directed RNA polymerases I, II, and III subunit RPABC2",Wald ratio,1,1.51 [0.35-6.61],0.581171256048638
Chapter X Diseases of the respiratory system,Bronchiectasis,TNFRSF14,Tumor necrosis factor receptor superfamily member 14,Inverse variance weighted,2,0.82 [0.47-1.43],0.480250618764109
Chapter X Diseases of the respiratory system,Bronchiectasis,MAMDC2,MAM domain-containing protein 2,Inverse variance weighted,22,0.94 [0.75-1.18],0.587759509945923
Chapter X Diseases of the respiratory system,Bronchiectasis,RNASET2,Ribonuclease T2,Inverse variance weighted,25,1.01 [0.89-1.13],0.913206905631537
Chapter X Diseases of the respiratory system,Bronchiectasis,ST6GAL1,"Beta-galactoside alpha-2,6-sialyltransferase 1",Inverse variance weighted,9,1.03 [0.77-1.36],0.848992733616321
Chapter X Diseases of the respiratory system,Bronchiectasis,TCN2,Transcobalamin-2,Inverse variance weighted,66,1.04 [0.97-1.11],0.325998893781179
Chapter X Diseases of the respiratory system,Bronchiectasis,FGL1,Fibrinogen-like protein 1,Inverse variance weighted,38,0.93 [0.82-1.04],0.215159838504763
Chapter X Diseases of the respiratory system,Bronchiectasis,RNASE6,Ribonuclease K6,Inverse variance weighted,20,0.91 [0.79-1.05],0.190487245961031
Chapter X Diseases of the respiratory system,Bronchiectasis,MZB1,Marginal zone B- and B1-cell-specific protein,Inverse variance weighted,19,1.09 [0.88-1.36],0.42954575377898
Chapter X Diseases of the respiratory system,Bronchiectasis,SERPINA3,Alpha-1-antichymotrypsin,Inverse variance weighted,13,1.17 [0.96-1.43],0.115077682151042
Chapter X Diseases of the respiratory system,Bronchiectasis,ICAM1,Intercellular adhesion molecule 1,Inverse variance weighted,24,0.98 [0.87-1.09],0.683825081680892
Chapter X Diseases of the respiratory system,Bronchiectasis,ADGRG1,Adhesion G-protein coupled receptor G1,Inverse variance weighted,9,1.18 [0.78-1.79],0.432437198561125
Chapter X Diseases of the respiratory system,Bronchiectasis,CXCL11,C-X-C motif chemokine 11,Inverse variance weighted,16,0.90 [0.74-1.10],0.302411210305978
Chapter X Diseases of the respiratory system,Bronchiectasis,TNFRSF13B,Tumor necrosis factor receptor superfamily member 13B,Inverse variance weighted,15,1.19 [0.92-1.53],0.185372612774375
Chapter X Diseases of the respiratory system,Bronchiectasis,NPC2,NPC intracellular cholesterol transporter 2,Inverse variance weighted,15,1.01 [0.83-1.24],0.886029069445224
Chapter X Diseases of the respiratory system,Bronchiectasis,GCNT1,"Beta-1,3-galactosyl-O-glycosyl-glycoprotein beta-1,6-N-acetylglucosaminyltransferase",Inverse variance weighted,22,1.01 [0.90-1.13],0.872684466551429
Chapter X Diseases of the respiratory system,Bronchiectasis,SEPTIN8,Septin-8,Inverse variance weighted,6,0.76 [0.45-1.28],0.304669830179138
Chapter X Diseases of the respiratory system,Bronchiectasis,ZBTB17,Zinc finger and BTB domain-containing protein 17,Inverse variance weighted,2,0.41 [0.20-0.83],0.0129756495281558
Chapter X Diseases of the respiratory system,Bronchiectasis,PLAT,Tissue-type plasminogen activator,Inverse variance weighted,6,1.02 [0.64-1.64],0.922085698343891
Chapter X Diseases of the respiratory system,Bronchiectasis,EPHB4,Ephrin type-B receptor 4,Inverse variance weighted,11,0.96 [0.71-1.30],0.798358756356335
Chapter X Diseases of the respiratory system,Bronchiectasis,LBP,Lipopolysaccharide-binding protein,Inverse variance weighted,29,1.00 [0.92-1.09],0.996615768682224
Chapter X Diseases of the respiratory system,Bronchiectasis,SOD2,"Superoxide dismutase [Mn], mitochondrial",Inverse variance weighted,11,1.00 [0.75-1.31],0.974325943030397
Chapter X Diseases of the respiratory system,Bronchiectasis,THBS2,Thrombospondin-2,Inverse variance weighted,33,1.01 [0.91-1.13],0.822883697865482
Chapter X Diseases of the respiratory system,Bronchiectasis,LGALS4,Galectin-4,Inverse variance weighted,19,1.22 [1.06-1.42],0.0074518383169542
Chapter X Diseases of the respiratory system,Bronchiectasis,CEACAM5,Carcinoembryonic antigen-related cell adhesion molecule 5,Inverse variance weighted,31,1.13 [0.99-1.29],0.0770344030393928
Chapter X Diseases of the respiratory system,Bronchiectasis,MAD1L1,Mitotic spindle assembly checkpoint protein MAD1,Inverse variance weighted,4,0.71 [0.32-1.59],0.400579439936308
Chapter X Diseases of the respiratory system,Bronchiectasis,MMP8,Neutrophil collagenase,Inverse variance weighted,25,1.09 [0.97-1.23],0.139101447479113
Chapter X Diseases of the respiratory system,Bronchiectasis,CD300C,CMRF35-like molecule 6,Inverse variance weighted,33,0.93 [0.84-1.03],0.143890516958921
Chapter X Diseases of the respiratory system,Bronchiectasis,PRTN3,Myeloblastin,Inverse variance weighted,41,0.97 [0.86-1.08],0.535383347093969
Chapter X Diseases of the respiratory system,Bronchiectasis,MMP10,Stromelysin-2,Inverse variance weighted,30,1.03 [0.90-1.18],0.653442234169736
Chapter X Diseases of the respiratory system,Bronchiectasis,SPINK1,Serine protease inhibitor Kazal-type 1,Inverse variance weighted,28,0.95 [0.86-1.05],0.327220744325699
Chapter X Diseases of the respiratory system,Bronchiectasis,SEMA3F,Semaphorin-3F,Inverse variance weighted,46,0.79 [0.66-0.94],0.0083006625157522
Chapter X Diseases of the respiratory system,Bronchiectasis,GRPEL1,"GrpE protein homolog 1, mitochondrial",Inverse variance weighted,3,1.18 [0.52-2.70],0.686870532229296
Chapter X Diseases of the respiratory system,Bronchiectasis,EDA2R,Tumor necrosis factor receptor superfamily member 27,Inverse variance weighted,12,0.91 [0.49-1.71],0.774357115374969
Chapter X Diseases of the respiratory system,Bronchiectasis,TNFRSF1B,Tumor necrosis factor receptor superfamily member 1B,Inverse variance weighted,9,1.01 [0.70-1.46],0.957014844151749
Chapter X Diseases of the respiratory system,Bronchiectasis,RNF149,E3 ubiquitin-protein ligase RNF149,Inverse variance weighted,10,1.01 [0.80-1.28],0.931790467106516
Chapter X Diseases of the respiratory system,Bronchiectasis,FOLR1,Folate receptor alpha,Inverse variance weighted,10,1.08 [0.79-1.46],0.640249274947859
Chapter X Diseases of the respiratory system,Bronchiectasis,OCLN,Occludin,Inverse variance weighted,3,0.88 [0.57-1.36],0.561854548336884
Chapter X Diseases of the respiratory system,Bronchiectasis,LMNB2,Lamin-B2,Inverse variance weighted,9,0.94 [0.61-1.45],0.782714308564581
Chapter X Diseases of the respiratory system,Bronchiectasis,DUT,"Deoxyuridine 5'-triphosphate nucleotidohydrolase, mitochondrial",Inverse variance weighted,3,1.60 [0.75-3.44],0.224394201058014
Chapter X Diseases of the respiratory system,Bronchiectasis,LMNB1,Lamin-B1,Inverse variance weighted,4,1.00 [0.62-1.63],0.995501925140855
Chapter X Diseases of the respiratory system,Bronchiectasis,COLEC12,Collectin-12,Inverse variance weighted,13,1.14 [0.90-1.45],0.287690877046672
Chapter X Diseases of the respiratory system,Bronchiectasis,TFPI2,Tissue factor pathway inhibitor 2,Inverse variance weighted,24,0.97 [0.81-1.17],0.762445546776278
Chapter X Diseases of the respiratory system,Bronchiectasis,RELT,Tumor necrosis factor receptor superfamily member 19L,Inverse variance weighted,19,1.05 [0.92-1.21],0.443886247954474
Chapter X Diseases of the respiratory system,Bronchiectasis,JAM3,Junctional adhesion molecule C,Inverse variance weighted,8,1.24 [0.86-1.78],0.246276602248493
Chapter X Diseases of the respiratory system,Bronchiectasis,STAB2,Stabilin-2,Inverse variance weighted,32,0.89 [0.77-1.02],0.0992031085312058
Chapter X Diseases of the respiratory system,Bronchiectasis,WARS,"Tryptophan--tRNA ligase, cytoplasmic",Inverse variance weighted,5,0.83 [0.63-1.08],0.169006820942668
Chapter X Diseases of the respiratory system,Bronchiectasis,CRHBP,Corticotropin-releasing factor-binding protein,Inverse variance weighted,37,1.06 [0.96-1.16],0.265082637423536
Chapter X Diseases of the respiratory system,Bronchiectasis,C1QA,Complement C1q subcomponent subunit A,Inverse variance weighted,36,1.00 [0.88-1.15],0.947471601877583
Chapter X Diseases of the respiratory system,Bronchiectasis,HAVCR1,Hepatitis A virus cellular receptor 1,Inverse variance weighted,40,0.92 [0.82-1.03],0.163925537891501
Chapter X Diseases of the respiratory system,Bronchiectasis,CCL17,C-C motif chemokine 17,Inverse variance weighted,35,0.96 [0.85-1.09],0.556213139402988
Chapter X Diseases of the respiratory system,Bronchiectasis,VSIG2,V-set and immunoglobulin domain-containing protein 2,Inverse variance weighted,5,0.97 [0.74-1.27],0.828152011678249
Chapter X Diseases of the respiratory system,Bronchiectasis,ANGPTL4,Angiopoietin-related protein 4,Inverse variance weighted,8,1.04 [0.87-1.25],0.659367345206656
Chapter X Diseases of the respiratory system,Bronchiectasis,SPINK4,Serine protease inhibitor Kazal-type 4,Inverse variance weighted,43,1.04 [0.96-1.13],0.3454596462667
Chapter X Diseases of the respiratory system,Bronchiectasis,TGFA,Protransforming growth factor alpha,Inverse variance weighted,11,1.05 [0.77-1.43],0.746607377928521
Chapter X Diseases of the respiratory system,Bronchiectasis,ASGR1,Asialoglycoprotein receptor 1,Inverse variance weighted,8,0.96 [0.61-1.50],0.844084572627774
Chapter X Diseases of the respiratory system,Bronchiectasis,LILRB4,Leukocyte immunoglobulin-like receptor subfamily B member 4,Inverse variance weighted,17,1.16 [0.86-1.55],0.339902765866459
Chapter X Diseases of the respiratory system,Bronchiectasis,RARRES2,Retinoic acid receptor responder protein 2,Inverse variance weighted,4,0.78 [0.55-1.11],0.168482275862763
Chapter X Diseases of the respiratory system,Bronchiectasis,CSF1,Macrophage colony-stimulating factor 1,Inverse variance weighted,12,0.90 [0.66-1.22],0.485044426775131
Chapter X Diseases of the respiratory system,Bronchiectasis,SELPLG,P-selectin glycoprotein ligand 1,Inverse variance weighted,22,1.06 [0.98-1.14],0.150986887965277
Chapter X Diseases of the respiratory system,Bronchiectasis,IGDCC4,Immunoglobulin superfamily DCC subclass member 4,Inverse variance weighted,25,1.12 [0.96-1.31],0.143627861670075
Chapter X Diseases of the respiratory system,Bronchiectasis,CRELD1,Protein disulfide isomerase CRELD1,Inverse variance weighted,41,0.90 [0.83-0.97],0.0059642633491249
Chapter X Diseases of the respiratory system,Bronchiectasis,LGALS1,Galectin-1,Inverse variance weighted,7,0.94 [0.78-1.12],0.460320392738897
