Disease_category,Disease,Protein,Protein_definition,Method,Nb_SNP,OR[95%CI],P_value
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Gonarthrosis,CSRP3,Cysteine and glycine-rich protein 3,Inverse variance weighted,3,0.98 [0.82-1.16],0.787744439012928
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Gonarthrosis,COL6A3,Collagen alpha-3(VI) chain,Inverse variance weighted,5,1.18 [0.95-1.47],0.125617582490213
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Gonarthrosis,ANXA10,Annexin A10,Wald ratio,1,1.27 [0.94-1.72],0.116635772779569
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Gonarthrosis,MATN3,Matrilin-3,Inverse variance weighted,32,0.99 [0.95-1.03],0.627125440911342
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Gonarthrosis,PLA2G2A,"Phospholipase A2, membrane associated",Inverse variance weighted,23,0.97 [0.95-1.00],0.0264544901746813
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Gonarthrosis,ASGR2,Asialoglycoprotein receptor 2,Inverse variance weighted,24,0.98 [0.93-1.03],0.380347952856546
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Gonarthrosis,IGFBP4,Insulin-like growth factor-binding protein 4,Inverse variance weighted,3,1.29 [0.96-1.73],0.0896874748942637
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Gonarthrosis,ADGRG2,Adhesion G-protein coupled receptor G2,Inverse variance weighted,8,1.12 [1.00-1.26],0.0484260891278863
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Gonarthrosis,RARRES2,Retinoic acid receptor responder protein 2,Inverse variance weighted,4,1.03 [0.94-1.12],0.591892274094053
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Gonarthrosis,AGR2,Anterior gradient protein 2 homolog,Inverse variance weighted,3,1.00 [0.89-1.12],0.977856818400616
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Gonarthrosis,DPP10,Inactive dipeptidyl peptidase 10,Inverse variance weighted,24,1.02 [0.97-1.08],0.452743214511827
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Gonarthrosis,FABP3,"Fatty acid-binding protein, heart",Inverse variance weighted,10,0.96 [0.86-1.08],0.516027610956709
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Gonarthrosis,CYTL1,Cytokine-like protein 1,Inverse variance weighted,10,1.03 [1.01-1.06],0.0085608614142994
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Gonarthrosis,BRK1,Protein BRICK1,Inverse variance weighted,10,0.93 [0.80-1.09],0.40324517412298
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Gonarthrosis,SCRG1,Scrapie-responsive protein 1,Inverse variance weighted,5,1.11 [0.96-1.28],0.172562011849592
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Gonarthrosis,VSIG4,V-set and immunoglobulin domain-containing protein 4,Inverse variance weighted,12,0.88 [0.79-0.97],0.007465864140247
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Gonarthrosis,DPP6,Dipeptidyl aminopeptidase-like protein 6,Inverse variance weighted,14,1.02 [0.97-1.08],0.399064684355083
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Gonarthrosis,BCAN,Brevican core protein,Inverse variance weighted,15,1.04 [0.95-1.13],0.385940834727534
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Gonarthrosis,COLEC12,Collectin-12,Inverse variance weighted,13,1.03 [0.97-1.09],0.376076660521277
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Gonarthrosis,TFF3,Trefoil factor 3,Inverse variance weighted,10,1.08 [1.00-1.17],0.0494646867464529
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Gonarthrosis,NECTIN2,Nectin-2,Inverse variance weighted,8,1.08 [1.01-1.16],0.0333759975214857
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Gonarthrosis,LILRB4,Leukocyte immunoglobulin-like receptor subfamily B member 4,Inverse variance weighted,17,1.04 [0.95-1.14],0.345128208787077
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Gonarthrosis,HSPB6,Heat shock protein beta-6,Inverse variance weighted,5,1.01 [0.88-1.17],0.878765873090778
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Gonarthrosis,CELA2A,Chymotrypsin-like elastase family member 2A,Inverse variance weighted,35,1.01 [0.94-1.08],0.786187658692475
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Gonarthrosis,MYL3,Myosin light chain 3,Inverse variance weighted,13,1.10 [1.01-1.21],0.0364814219625149
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Gonarthrosis,GAST,Gastrin,Inverse variance weighted,9,0.98 [0.85-1.14],0.823490501606046
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Gonarthrosis,COL18A1,Collagen alpha-1(XVIII) chain,Inverse variance weighted,17,1.01 [0.95-1.06],0.769994225034626
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Gonarthrosis,COMP,Cartilage oligomeric matrix protein,Inverse variance weighted,14,1.04 [0.94-1.16],0.443643827176815
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Gonarthrosis,SEZ6L,Seizure 6-like protein,Inverse variance weighted,18,1.03 [0.98-1.08],0.273315486218904
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Gonarthrosis,TNFRSF10B,Tumor necrosis factor receptor superfamily member 10B,Inverse variance weighted,17,1.01 [0.97-1.05],0.779323004261021
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Gonarthrosis,GDF15,Growth/differentiation factor 15,Inverse variance weighted,14,1.06 [0.95-1.18],0.329918495167864
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Gonarthrosis,KLK4,Kallikrein-4,Inverse variance weighted,20,1.00 [0.97-1.03],0.89387929829465
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Gonarthrosis,ACAN,Aggrecan core protein,Inverse variance weighted,33,1.06 [0.97-1.15],0.196124396357062
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Gonarthrosis,FETUB,Fetuin-B,Inverse variance weighted,25,0.99 [0.96-1.03],0.657847747636877
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Gonarthrosis,UMOD,Uromodulin,Inverse variance weighted,62,1.00 [0.98-1.03],0.900684798146057
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Gonarthrosis,MMP3,Stromelysin-1,Inverse variance weighted,35,1.00 [0.96-1.05],0.952313830126142
