Disease_category,Disease,Protein,Protein_definition,Method,Nb_SNP,OR[95%CI],P_value
Chapter XIV Diseases of the genitourinary system,Neuromuscular dysfunction of bladder,B4GALT1,"Beta-1,4-galactosyltransferase 1",Inverse variance weighted,19,1.04 [0.89-1.22],0.626663800548013
Chapter XIV Diseases of the genitourinary system,Neuromuscular dysfunction of bladder,CA12,Carbonic anhydrase 12,Inverse variance weighted,20,0.93 [0.82-1.06],0.292630853244224
