Disease_category,Disease,Protein,Protein_definition,Method,Nb_SNP,OR[95%CI],P_value
Chapter VI Diseases of the nervous system,Alzheimer disease,VGF,Neurosecretory protein VGF,Inverse variance weighted,2,1.10 [0.74-1.63],0.630592133686918
Chapter VI Diseases of the nervous system,Alzheimer disease,SNAP25,Synaptosomal-associated protein 25,Inverse variance weighted,15,3.59 [2.74-4.71],1.59883189365905e-20
Chapter VI Diseases of the nervous system,Alzheimer disease,GDF15,Growth/differentiation factor 15,Inverse variance weighted,14,0.99 [0.81-1.22],0.956390373170798
Chapter VI Diseases of the nervous system,Alzheimer disease,APOA2,Apolipoprotein A-II,Inverse variance weighted,16,0.97 [0.83-1.13],0.718250363988574
Chapter VI Diseases of the nervous system,Alzheimer disease,BCAN,Brevican core protein,Inverse variance weighted,15,1.02 [0.91-1.13],0.78046199388493
Chapter VI Diseases of the nervous system,Alzheimer disease,APOE,Apolipoprotein E,Inverse variance weighted,34,0.44 [0.39-0.50],1.49473051218168e-40
Chapter VI Diseases of the nervous system,Alzheimer disease,NPTXR,Neuronal pentraxin receptor,Inverse variance weighted,20,1.00 [0.96-1.03],0.892257565143946
Chapter VI Diseases of the nervous system,Alzheimer disease,GFAP,Glial fibrillary acidic protein,Inverse variance weighted,14,1.20 [0.91-1.59],0.201845757388908
Chapter VI Diseases of the nervous system,Alzheimer disease,MENT,Protein MENT,Inverse variance weighted,30,3.24 [2.58-4.06],3.51928689846265e-24
Chapter VI Diseases of the nervous system,Alzheimer disease,BRK1,Protein BRICK1,Inverse variance weighted,10,6.35 [0.88-45.86],0.0667353427929596
Chapter VI Diseases of the nervous system,Alzheimer disease,NEFL,Neurofilament light polypeptide,Inverse variance weighted,6,0.93 [0.60-1.44],0.741961370175203
