Disease_category,Disease,Protein,Protein_definition,Method,Nb_SNP,OR[95%CI],P_value
Chapter VI Diseases of the nervous system,Small fibre neuropathy,HSPB6,Heat shock protein beta-6,Inverse variance weighted,5,1.20 [0.28-5.09],0.806367219885989
Chapter VI Diseases of the nervous system,Small fibre neuropathy,DLL1,Delta-like protein 1,Inverse variance weighted,13,0.73 [0.42-1.26],0.257470737988847
Chapter VI Diseases of the nervous system,Small fibre neuropathy,PLAUR,Urokinase plasminogen activator surface receptor,Inverse variance weighted,10,1.30 [0.67-2.53],0.43219474112632
Chapter VI Diseases of the nervous system,Small fibre neuropathy,RNASET2,Ribonuclease T2,Inverse variance weighted,25,0.86 [0.68-1.07],0.178773098920159
Chapter VI Diseases of the nervous system,Small fibre neuropathy,MYBPC1,"Myosin-binding protein C, slow-type",Inverse variance weighted,13,0.95 [0.49-1.83],0.867544069149827
Chapter VI Diseases of the nervous system,Small fibre neuropathy,PGF,Placenta growth factor,Inverse variance weighted,8,1.90 [0.82-4.40],0.133966995013293
Chapter VI Diseases of the nervous system,Small fibre neuropathy,COL6A3,Collagen alpha-3(VI) chain,Inverse variance weighted,5,0.93 [0.29-2.92],0.897733070798632
Chapter VI Diseases of the nervous system,Small fibre neuropathy,EPHA2,Ephrin type-A receptor 2,Inverse variance weighted,5,0.76 [0.27-2.09],0.591479625967771
Chapter VI Diseases of the nervous system,Small fibre neuropathy,NOS1,"Nitric oxide synthase, brain",Inverse variance weighted,3,0.92 [0.47-1.83],0.819170781586207
Chapter VI Diseases of the nervous system,Small fibre neuropathy,FSTL1,Follistatin-related protein 1,Inverse variance weighted,15,0.87 [0.53-1.43],0.57889687891605
Chapter VI Diseases of the nervous system,Small fibre neuropathy,EDA2R,Tumor necrosis factor receptor superfamily member 27,Inverse variance weighted,12,1.02 [0.45-2.31],0.968976140055019
Chapter VI Diseases of the nervous system,Small fibre neuropathy,GDF15,Growth/differentiation factor 15,Inverse variance weighted,14,1.02 [0.56-1.88],0.942598690648244
Chapter VI Diseases of the nervous system,Small fibre neuropathy,SCARB2,Lysosome membrane protein 2,Inverse variance weighted,17,0.69 [0.47-1.03],0.0719000637253555
Chapter VI Diseases of the nervous system,Small fibre neuropathy,EPHB4,Ephrin type-B receptor 4,Inverse variance weighted,11,1.07 [0.68-1.67],0.775878645416869
Chapter VI Diseases of the nervous system,Small fibre neuropathy,NEFL,Neurofilament light polypeptide,Inverse variance weighted,6,0.91 [0.28-2.99],0.879051667660765
Chapter VI Diseases of the nervous system,Small fibre neuropathy,CD300E,CMRF35-like molecule 2,Inverse variance weighted,36,0.95 [0.74-1.22],0.691998074624348
Chapter VI Diseases of the nervous system,Small fibre neuropathy,EFNA4,Ephrin-A4,Inverse variance weighted,5,0.77 [0.33-1.82],0.556019195599276
