Disease_category,Disease,Protein,Protein_definition,Method,Nb_SNP,OR[95%CI],P_value
Chapter VI Diseases of the nervous system,Other degenerative diseases of the nervous system,C7,Complement component C7,Inverse variance weighted,60,1.04 [1.01-1.07],0.0220919932342483
Chapter VI Diseases of the nervous system,Other degenerative diseases of the nervous system,CLEC3B,Tetranectin,Inverse variance weighted,9,1.01 [0.90-1.14],0.824824892347013
Chapter VI Diseases of the nervous system,Other degenerative diseases of the nervous system,COL4A1,Collagen alpha-1(IV) chain,Inverse variance weighted,31,1.04 [0.98-1.11],0.234568934101063
Chapter VI Diseases of the nervous system,Other degenerative diseases of the nervous system,CRIM1,Cysteine-rich motor neuron 1 protein,Inverse variance weighted,14,0.92 [0.81-1.04],0.195173664757819
Chapter VI Diseases of the nervous system,Other degenerative diseases of the nervous system,OMG,Oligodendrocyte-myelin glycoprotein,Inverse variance weighted,15,0.95 [0.82-1.09],0.453627905674088
Chapter VI Diseases of the nervous system,Other degenerative diseases of the nervous system,SHISA5,Protein shisa-5,Inverse variance weighted,16,0.88 [0.75-1.03],0.125026802852781
Chapter VI Diseases of the nervous system,Other degenerative diseases of the nervous system,HSPB6,Heat shock protein beta-6,Inverse variance weighted,5,0.93 [0.67-1.29],0.657649010316186
Chapter VI Diseases of the nervous system,Other degenerative diseases of the nervous system,IL1RL1,Interleukin-1 receptor-like 1,Inverse variance weighted,66,1.05 [1.01-1.09],0.0061447491814745
Chapter VI Diseases of the nervous system,Other degenerative diseases of the nervous system,CA12,Carbonic anhydrase 12,Inverse variance weighted,20,0.97 [0.90-1.04],0.389015711956035
Chapter VI Diseases of the nervous system,Other degenerative diseases of the nervous system,PTN,Pleiotrophin,Inverse variance weighted,7,0.96 [0.80-1.14],0.623879892675274
Chapter VI Diseases of the nervous system,Other degenerative diseases of the nervous system,WNT9A,Protein Wnt-9a,Inverse variance weighted,7,1.04 [0.89-1.21],0.619481927140565
Chapter VI Diseases of the nervous system,Other degenerative diseases of the nervous system,PILRA,Paired immunoglobulin-like type 2 receptor alpha,Inverse variance weighted,61,1.03 [1.00-1.06],0.0415720137839367
Chapter VI Diseases of the nervous system,Other degenerative diseases of the nervous system,RSPO3,R-spondin-3,Inverse variance weighted,11,0.91 [0.81-1.02],0.118139513426764
Chapter VI Diseases of the nervous system,Other degenerative diseases of the nervous system,TIMP4,Metalloproteinase inhibitor 4,Inverse variance weighted,24,0.96 [0.88-1.03],0.24684349734681
Chapter VI Diseases of the nervous system,Other degenerative diseases of the nervous system,NCS1,Neuronal calcium sensor 1,Inverse variance weighted,18,1.05 [0.94-1.16],0.372532644051695
Chapter VI Diseases of the nervous system,Other degenerative diseases of the nervous system,BRK1,Protein BRICK1,Inverse variance weighted,10,3.05 [0.86-10.77],0.0837048829388886
Chapter VI Diseases of the nervous system,Other degenerative diseases of the nervous system,CD302,CD302 antigen,Inverse variance weighted,17,0.99 [0.91-1.06],0.70206508533822
Chapter VI Diseases of the nervous system,Other degenerative diseases of the nervous system,AREG,Amphiregulin,Inverse variance weighted,7,1.15 [0.99-1.33],0.0706946256684828
Chapter VI Diseases of the nervous system,Other degenerative diseases of the nervous system,WFDC2,WAP four-disulfide core domain protein 2,Inverse variance weighted,4,1.08 [0.87-1.33],0.482297407266931
Chapter VI Diseases of the nervous system,Other degenerative diseases of the nervous system,BCAN,Brevican core protein,Inverse variance weighted,15,1.01 [0.92-1.11],0.833697816468769
Chapter VI Diseases of the nervous system,Other degenerative diseases of the nervous system,NPTX2,Neuronal pentraxin-2,Inverse variance weighted,24,0.99 [0.89-1.11],0.865626982563932
Chapter VI Diseases of the nervous system,Other degenerative diseases of the nervous system,IGFBP2,Insulin-like growth factor-binding protein 2,Inverse variance weighted,13,1.01 [0.86-1.20],0.867911447290716
Chapter VI Diseases of the nervous system,Other degenerative diseases of the nervous system,TNFRSF6B,Tumor necrosis factor receptor superfamily member 6B,Inverse variance weighted,26,1.00 [0.94-1.06],0.933536501474095
Chapter VI Diseases of the nervous system,Other degenerative diseases of the nervous system,GHR,Growth hormone receptor,Inverse variance weighted,70,1.00 [0.96-1.05],0.908912395345664
Chapter VI Diseases of the nervous system,Other degenerative diseases of the nervous system,APOE,Apolipoprotein E,Inverse variance weighted,34,0.60 [0.55-0.64],2.96558550880441e-41
Chapter VI Diseases of the nervous system,Other degenerative diseases of the nervous system,TFF3,Trefoil factor 3,Inverse variance weighted,10,1.11 [0.94-1.33],0.220907456294031
Chapter VI Diseases of the nervous system,Other degenerative diseases of the nervous system,SPINT1,Kunitz-type protease inhibitor 1,Inverse variance weighted,21,1.05 [0.96-1.15],0.281988253094284
Chapter VI Diseases of the nervous system,Other degenerative diseases of the nervous system,VCAM1,Vascular cell adhesion protein 1,Inverse variance weighted,11,1.04 [0.88-1.23],0.629148797795523
Chapter VI Diseases of the nervous system,Other degenerative diseases of the nervous system,TGFA,Protransforming growth factor alpha,Inverse variance weighted,11,1.01 [0.75-1.34],0.966953612262404
Chapter VI Diseases of the nervous system,Other degenerative diseases of the nervous system,TGFBR2,TGF-beta receptor type-2,Inverse variance weighted,11,1.14 [0.95-1.38],0.149774838931349
