Disease_category,Disease,Protein,Protein_definition,Method,Nb_SNP,OR[95%CI],P_value
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Disorders of continuity of bone,CHCHD10,"Coiled-coil-helix-coiled-coil-helix domain-containing protein 10, mitochondrial",Inverse variance weighted,4,1.17 [0.83-1.66],0.369946298354336
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Disorders of continuity of bone,OCLN,Occludin,Inverse variance weighted,3,1.59 [0.63-4.01],0.323260853934169
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Disorders of continuity of bone,COL9A1,Collagen alpha-1(IX) chain,Inverse variance weighted,14,1.09 [0.91-1.29],0.356385208528025
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Disorders of continuity of bone,ELN,Elastin,Inverse variance weighted,12,1.19 [0.86-1.66],0.293018601984512
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Disorders of continuity of bone,PALM2,Paralemmin-2,Inverse variance weighted,9,1.03 [0.83-1.29],0.775494530000679
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Disorders of continuity of bone,PLAUR,Urokinase plasminogen activator surface receptor,Inverse variance weighted,10,0.76 [0.59-0.97],0.0311016864875963
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Disorders of continuity of bone,RNASE1,Ribonuclease pancreatic,Inverse variance weighted,6,1.12 [0.89-1.42],0.335139623288923
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Disorders of continuity of bone,EDA2R,Tumor necrosis factor receptor superfamily member 27,Inverse variance weighted,12,0.95 [0.64-1.42],0.812518384231807
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Disorders of continuity of bone,RNASE6,Ribonuclease K6,Inverse variance weighted,20,1.06 [0.91-1.22],0.449488716901434
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Disorders of continuity of bone,YAP1,Transcriptional coactivator YAP1,Inverse variance weighted,10,0.91 [0.65-1.27],0.585009765546967
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Disorders of continuity of bone,RBFOX3,RNA binding protein fox-1 homolog 3,Inverse variance weighted,2,1.41 [0.54-3.71],0.485370683867444
