Disease_category,Disease,Protein,Protein_definition,Method,Nb_SNP,OR[95%CI],P_value
Chapter XIV Diseases of the genitourinary system,Noninflammatory disorders of female genital tract,VWC2,Brorin,Inverse variance weighted,35,1.00 [0.97-1.03],0.915130260911794
Chapter XIV Diseases of the genitourinary system,Noninflammatory disorders of female genital tract,AREG,Amphiregulin,Inverse variance weighted,7,0.95 [0.85-1.07],0.406593235249415
Chapter XIV Diseases of the genitourinary system,Noninflammatory disorders of female genital tract,ADGRG2,Adhesion G-protein coupled receptor G2,Inverse variance weighted,8,1.06 [0.92-1.21],0.423580358177909
Chapter XIV Diseases of the genitourinary system,Noninflammatory disorders of female genital tract,DNER,Delta and Notch-like epidermal growth factor-related receptor,Inverse variance weighted,28,1.01 [0.98-1.05],0.410856538046434
Chapter XIV Diseases of the genitourinary system,Noninflammatory disorders of female genital tract,ADAMTS8,A disintegrin and metalloproteinase with thrombospondin motifs 8,Inverse variance weighted,28,1.01 [0.98-1.04],0.599423467538411
Chapter XIV Diseases of the genitourinary system,Noninflammatory disorders of female genital tract,FGF23,Fibroblast growth factor 23,Inverse variance weighted,17,1.06 [1.00-1.12],0.0427352288560511
Chapter XIV Diseases of the genitourinary system,Noninflammatory disorders of female genital tract,DPP4,Dipeptidyl peptidase 4,Inverse variance weighted,16,1.03 [0.99-1.07],0.164664244081838
Chapter XIV Diseases of the genitourinary system,Noninflammatory disorders of female genital tract,FSHB,Follitropin subunit beta,Inverse variance weighted,3,1.56 [1.22-1.99],0.0003274906036087
Chapter XIV Diseases of the genitourinary system,Noninflammatory disorders of female genital tract,TSPAN1,Tetraspanin-1,Inverse variance weighted,6,0.96 [0.84-1.11],0.598265602774249
Chapter XIV Diseases of the genitourinary system,Noninflammatory disorders of female genital tract,MCAM,Cell surface glycoprotein MUC18,Inverse variance weighted,13,0.99 [0.94-1.05],0.794771983513256
Chapter XIV Diseases of the genitourinary system,Noninflammatory disorders of female genital tract,CDH3,Cadherin-3,Inverse variance weighted,12,0.97 [0.90-1.04],0.39297950376942
Chapter XIV Diseases of the genitourinary system,Noninflammatory disorders of female genital tract,CHAD,Chondroadherin,Inverse variance weighted,15,1.01 [0.98-1.05],0.554991204788897
Chapter XIV Diseases of the genitourinary system,Noninflammatory disorders of female genital tract,RSPO1,R-spondin-1,Inverse variance weighted,14,1.01 [0.96-1.05],0.808938647214396
Chapter XIV Diseases of the genitourinary system,Noninflammatory disorders of female genital tract,EGFR,Epidermal growth factor receptor,Inverse variance weighted,15,1.01 [0.93-1.09],0.785259245364096
Chapter XIV Diseases of the genitourinary system,Noninflammatory disorders of female genital tract,MYOC,Myocilin,Inverse variance weighted,32,1.01 [0.97-1.05],0.579534813784869
Chapter XIV Diseases of the genitourinary system,Noninflammatory disorders of female genital tract,PAEP,Glycodelin,Inverse variance weighted,29,1.02 [1.00-1.04],0.0589009437041024
Chapter XIV Diseases of the genitourinary system,Noninflammatory disorders of female genital tract,CD34,Hematopoietic progenitor cell antigen CD34,Inverse variance weighted,3,1.16 [0.97-1.38],0.106480801200027
Chapter XIV Diseases of the genitourinary system,Noninflammatory disorders of female genital tract,ITGA11,Integrin alpha-11,Inverse variance weighted,16,1.00 [0.96-1.04],0.950420685973202
Chapter XIV Diseases of the genitourinary system,Noninflammatory disorders of female genital tract,KLK4,Kallikrein-4,Inverse variance weighted,20,1.01 [0.99-1.04],0.295166023767268
Chapter XIV Diseases of the genitourinary system,Noninflammatory disorders of female genital tract,CHRDL2,Chordin-like protein 2,Inverse variance weighted,17,0.94 [0.90-0.99],0.0093620013710962
Chapter XIV Diseases of the genitourinary system,Noninflammatory disorders of female genital tract,ITGAV,Integrin alpha-V,Inverse variance weighted,14,0.94 [0.88-1.00],0.0532062178539856
