Disease_category,Disease,Protein,Protein_definition,Method,Nb_SNP,OR[95%CI],P_value
Chapter VI Diseases of the nervous system,Epilepsy,SCARB2,Lysosome membrane protein 2,Inverse variance weighted,17,1.10 [1.01-1.21],0.0366874811653402
Chapter VI Diseases of the nervous system,Epilepsy,HAVCR1,Hepatitis A virus cellular receptor 1,Inverse variance weighted,40,1.02 [0.97-1.07],0.462336272211958
Chapter VI Diseases of the nervous system,Epilepsy,GDF15,Growth/differentiation factor 15,Inverse variance weighted,14,1.04 [0.87-1.24],0.699324600890539
Chapter VI Diseases of the nervous system,Epilepsy,ASGR1,Asialoglycoprotein receptor 1,Inverse variance weighted,8,0.87 [0.74-1.03],0.100683044217898
Chapter VI Diseases of the nervous system,Epilepsy,MERTK,Tyrosine-protein kinase Mer,Inverse variance weighted,31,0.95 [0.89-1.02],0.179626436955081
Chapter VI Diseases of the nervous system,Epilepsy,TIMP4,Metalloproteinase inhibitor 4,Inverse variance weighted,24,0.95 [0.90-1.02],0.140939813153354
Chapter VI Diseases of the nervous system,Epilepsy,BST2,Bone marrow stromal antigen 2,Inverse variance weighted,27,1.01 [0.92-1.10],0.889372550745775
Chapter VI Diseases of the nervous system,Epilepsy,RBFOX3,RNA binding protein fox-1 homolog 3,Inverse variance weighted,2,0.78 [0.43-1.41],0.408691316006501
Chapter VI Diseases of the nervous system,Epilepsy,ENPP7,Ectonucleotide pyrophosphatase/phosphodiesterase family member 7,Inverse variance weighted,33,1.04 [0.99-1.08],0.0971487043416264
Chapter VI Diseases of the nervous system,Epilepsy,PRG2,Bone marrow proteoglycan,Inverse variance weighted,40,1.04 [0.98-1.10],0.232386917594009
Chapter VI Diseases of the nervous system,Epilepsy,CD302,CD302 antigen,Inverse variance weighted,17,0.97 [0.90-1.05],0.505962624489572
Chapter VI Diseases of the nervous system,Epilepsy,MME,Neprilysin,Inverse variance weighted,49,0.99 [0.93-1.05],0.689940219178355
Chapter VI Diseases of the nervous system,Epilepsy,NPC2,NPC intracellular cholesterol transporter 2,Inverse variance weighted,15,0.95 [0.86-1.05],0.336283074811357
Chapter VI Diseases of the nervous system,Epilepsy,IGFBP3,Insulin-like growth factor-binding protein 3,Inverse variance weighted,41,1.06 [1.00-1.13],0.0483598468785204
Chapter VI Diseases of the nervous system,Epilepsy,SPINK1,Serine protease inhibitor Kazal-type 1,Inverse variance weighted,28,0.98 [0.94-1.02],0.367461886860435
Chapter VI Diseases of the nervous system,Epilepsy,CA12,Carbonic anhydrase 12,Inverse variance weighted,20,0.99 [0.93-1.06],0.848920205993728
Chapter VI Diseases of the nervous system,Epilepsy,VSIG4,V-set and immunoglobulin domain-containing protein 4,Inverse variance weighted,12,1.17 [0.98-1.39],0.0743754572741041
Chapter VI Diseases of the nervous system,Epilepsy,TGFBR2,TGF-beta receptor type-2,Inverse variance weighted,11,1.03 [0.85-1.25],0.767451578368596
Chapter VI Diseases of the nervous system,Epilepsy,NEFL,Neurofilament light polypeptide,Inverse variance weighted,6,0.91 [0.69-1.20],0.497875594594499
Chapter VI Diseases of the nervous system,Epilepsy,LAMP2,Lysosome-associated membrane glycoprotein 2,Inverse variance weighted,6,0.77 [0.60-0.99],0.0450265835738169
Chapter VI Diseases of the nervous system,Epilepsy,NCR3LG1,Natural cytotoxicity triggering receptor 3 ligand 1,Inverse variance weighted,41,1.05 [0.99-1.12],0.106524387819504
Chapter VI Diseases of the nervous system,Epilepsy,ANGPT2,Angiopoietin-2,Inverse variance weighted,11,1.03 [0.91-1.17],0.599798200784929
Chapter VI Diseases of the nervous system,Epilepsy,PRSS8,Prostasin,Inverse variance weighted,19,0.96 [0.87-1.07],0.462497807772956
Chapter VI Diseases of the nervous system,Epilepsy,CD80,T-lymphocyte activation antigen CD80,Inverse variance weighted,26,1.02 [0.97-1.08],0.380814746190025
Chapter VI Diseases of the nervous system,Epilepsy,AREG,Amphiregulin,Inverse variance weighted,7,1.02 [0.80-1.30],0.887216964692097
Chapter VI Diseases of the nervous system,Epilepsy,EPHB4,Ephrin type-B receptor 4,Inverse variance weighted,11,0.86 [0.78-0.96],0.0061522109210985
Chapter VI Diseases of the nervous system,Epilepsy,PIGR,Polymeric immunoglobulin receptor,Inverse variance weighted,31,1.07 [0.91-1.25],0.408381844176945
Chapter VI Diseases of the nervous system,Epilepsy,TNFRSF1B,Tumor necrosis factor receptor superfamily member 1B,Inverse variance weighted,9,1.04 [0.89-1.21],0.609777705958988
Chapter VI Diseases of the nervous system,Epilepsy,EPHA2,Ephrin type-A receptor 2,Inverse variance weighted,5,0.97 [0.77-1.23],0.795670387871043
Chapter VI Diseases of the nervous system,Epilepsy,GGT1,Glutathione hydrolase 1 proenzyme,Inverse variance weighted,16,1.00 [0.92-1.10],0.956579190695738
Chapter VI Diseases of the nervous system,Epilepsy,COL4A1,Collagen alpha-1(IV) chain,Inverse variance weighted,31,0.95 [0.89-1.00],0.0654163625519915
Chapter VI Diseases of the nervous system,Epilepsy,CXCL13,C-X-C motif chemokine 13,Inverse variance weighted,2,0.90 [0.62-1.31],0.597726469750235
Chapter VI Diseases of the nervous system,Epilepsy,NCS1,Neuronal calcium sensor 1,Inverse variance weighted,18,1.14 [1.01-1.28],0.0347496840346496
Chapter VI Diseases of the nervous system,Epilepsy,HAVCR2,Hepatitis A virus cellular receptor 2,Inverse variance weighted,13,1.01 [0.98-1.05],0.401161515758438
Chapter VI Diseases of the nervous system,Epilepsy,PALM2,Paralemmin-2,Inverse variance weighted,9,0.98 [0.88-1.09],0.740584034104259
Chapter VI Diseases of the nervous system,Epilepsy,BMPER,BMP-binding endothelial regulator protein,Inverse variance weighted,13,1.08 [1.00-1.17],0.0574907702833873
Chapter VI Diseases of the nervous system,Epilepsy,CKB,Creatine kinase B-type,Inverse variance weighted,11,0.93 [0.79-1.09],0.373163158735361
Chapter VI Diseases of the nervous system,Epilepsy,RAB6A,Ras-related protein Rab-6A,Inverse variance weighted,28,1.10 [1.03-1.17],0.0040059755999076
Chapter VI Diseases of the nervous system,Epilepsy,GPR37,Prosaposin receptor GPR37,Inverse variance weighted,62,0.99 [0.95-1.03],0.601622614372505
Chapter VI Diseases of the nervous system,Epilepsy,SMPD1,Sphingomyelin phosphodiesterase,Inverse variance weighted,34,1.04 [0.98-1.11],0.221711940753054
Chapter VI Diseases of the nervous system,Epilepsy,CFHR5,Complement factor H-related protein 5,Inverse variance weighted,46,0.99 [0.96-1.02],0.629759076009921
Chapter VI Diseases of the nervous system,Epilepsy,CHI3L1,Chitinase-3-like protein 1,Inverse variance weighted,28,0.96 [0.92-1.00],0.0272840362014815
