Disease_category,Disease,Protein,Protein_definition,Method,Nb_SNP,OR[95%CI],P_value
Chapter VI Diseases of the nervous system,Sleep apnoea,TFF2,Trefoil factor 2,Inverse variance weighted,16,0.99 [0.92-1.07],0.866196985509534
Chapter VI Diseases of the nervous system,Sleep apnoea,NPC2,NPC intracellular cholesterol transporter 2,Inverse variance weighted,15,0.96 [0.89-1.03],0.252636644856498
Chapter VI Diseases of the nervous system,Sleep apnoea,HSPB6,Heat shock protein beta-6,Inverse variance weighted,5,0.93 [0.81-1.07],0.323308853418675
Chapter VI Diseases of the nervous system,Sleep apnoea,OGN,Mimecan,Inverse variance weighted,37,1.06 [1.02-1.10],0.002846978406643
Chapter VI Diseases of the nervous system,Sleep apnoea,PLAUR,Urokinase plasminogen activator surface receptor,Inverse variance weighted,10,0.89 [0.83-0.95],0.0008007206944683
Chapter VI Diseases of the nervous system,Sleep apnoea,PRAP1,Proline-rich acidic protein 1,Inverse variance weighted,7,1.02 [0.97-1.07],0.495350408931998
Chapter VI Diseases of the nervous system,Sleep apnoea,SCARB2,Lysosome membrane protein 2,Inverse variance weighted,17,0.99 [0.94-1.04],0.67272524708753
Chapter VI Diseases of the nervous system,Sleep apnoea,WFDC2,WAP four-disulfide core domain protein 2,Inverse variance weighted,4,1.04 [0.92-1.17],0.557370484668044
Chapter VI Diseases of the nervous system,Sleep apnoea,RTN4R,Reticulon-4 receptor,Inverse variance weighted,26,0.99 [0.96-1.02],0.483661466376656
Chapter VI Diseases of the nervous system,Sleep apnoea,GDF15,Growth/differentiation factor 15,Inverse variance weighted,14,1.04 [0.96-1.13],0.34329806798919
Chapter VI Diseases of the nervous system,Sleep apnoea,RBFOX3,RNA binding protein fox-1 homolog 3,Inverse variance weighted,2,1.07 [0.82-1.40],0.613066107949866
Chapter VI Diseases of the nervous system,Sleep apnoea,HAVCR1,Hepatitis A virus cellular receptor 1,Inverse variance weighted,40,0.98 [0.95-1.02],0.356766387910918
Chapter VI Diseases of the nervous system,Sleep apnoea,MMP7,Matrilysin,Inverse variance weighted,15,0.99 [0.94-1.04],0.574678721067575
Chapter VI Diseases of the nervous system,Sleep apnoea,COL6A3,Collagen alpha-3(VI) chain,Inverse variance weighted,5,1.07 [0.87-1.31],0.529171467709693
Chapter VI Diseases of the nervous system,Sleep apnoea,GAST,Gastrin,Inverse variance weighted,9,1.00 [0.86-1.17],0.971097199745958
Chapter VI Diseases of the nervous system,Sleep apnoea,VSIG2,V-set and immunoglobulin domain-containing protein 2,Inverse variance weighted,5,1.00 [0.93-1.07],0.943382278550286
Chapter VI Diseases of the nervous system,Sleep apnoea,CHCHD10,"Coiled-coil-helix-coiled-coil-helix domain-containing protein 10, mitochondrial",Inverse variance weighted,4,1.02 [0.89-1.17],0.747374667121991
Chapter VI Diseases of the nervous system,Sleep apnoea,RNASE1,Ribonuclease pancreatic,Inverse variance weighted,6,0.99 [0.90-1.09],0.878234497664925
Chapter VI Diseases of the nervous system,Sleep apnoea,ADM,Pro-adrenomedullin,Inverse variance weighted,4,0.94 [0.85-1.03],0.189939107785112
Chapter VI Diseases of the nervous system,Sleep apnoea,IGFBP4,Insulin-like growth factor-binding protein 4,Inverse variance weighted,3,1.14 [0.84-1.55],0.415646267669492
Chapter VI Diseases of the nervous system,Sleep apnoea,RNASE6,Ribonuclease K6,Inverse variance weighted,20,0.95 [0.92-0.98],0.0036748824360391
Chapter VI Diseases of the nervous system,Sleep apnoea,CD302,CD302 antigen,Inverse variance weighted,17,0.95 [0.90-1.00],0.0383597189647029
Chapter VI Diseases of the nervous system,Sleep apnoea,FGF23,Fibroblast growth factor 23,Inverse variance weighted,17,1.03 [0.94-1.12],0.55101295629665
Chapter VI Diseases of the nervous system,Sleep apnoea,EFNA4,Ephrin-A4,Inverse variance weighted,5,1.01 [0.90-1.13],0.844477192156593
Chapter VI Diseases of the nervous system,Sleep apnoea,FABP4,"Fatty acid-binding protein, adipocyte",Inverse variance weighted,2,0.93 [0.81-1.06],0.269639949804122
Chapter VI Diseases of the nervous system,Sleep apnoea,ASGR1,Asialoglycoprotein receptor 1,Inverse variance weighted,8,0.92 [0.81-1.04],0.189937585376101
Chapter VI Diseases of the nervous system,Sleep apnoea,GCG,Pro-glucagon,Inverse variance weighted,2,0.84 [0.66-1.06],0.136575049868256
Chapter VI Diseases of the nervous system,Sleep apnoea,RNASE4,Ribonuclease 4,Inverse variance weighted,13,1.03 [0.99-1.08],0.134238121121715
