Protein,Protein_definition,Disease_category,Disease,NB_individual,NB_case,HR[95%CI],P_value
XRCC4,DNA repair protein XRCC4,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other and unspecified iron deficiency,22292,1402,1.24 [1.10-1.39],0.0003464728439013
XRCC4,DNA repair protein XRCC4,Chapter IX Diseases of the circulatory system,Endocarditis,16642,100,1.64 [1.15-2.33],0.0065120373931578
XRCC4,DNA repair protein XRCC4,Chapter V Mental and behavioural disorders,Any mental disorder,22128,4133,1.15 [1.08-1.24],8.079473120197822e-05
XRCC4,DNA repair protein XRCC4,Chapter X Diseases of the respiratory system,Diseases of the respiratory system,20558,6003,1.09 [1.03-1.16],0.0029893197335663
XRCC4,DNA repair protein XRCC4,Chapter X Diseases of the respiratory system,Influenza and pneumonia,22397,2531,1.14 [1.04-1.24],0.00534122603752
XRCC4,DNA repair protein XRCC4,Chapter X Diseases of the respiratory system,Interstitial lung disease,21414,479,1.29 [1.06-1.57],0.0098453033989346
XRCC4,DNA repair protein XRCC4,Chapter X Diseases of the respiratory system,Other acute lower respiratory infections,22373,1287,1.26 [1.11-1.42],0.0003085337956181
XRCC4,DNA repair protein XRCC4,Chapter X Diseases of the respiratory system,"Pneumonia, organism unspecified",22119,2253,1.14 [1.03-1.25],0.0094945086877886
XRCC4,DNA repair protein XRCC4,Chapter X Diseases of the respiratory system,Unspecified acute lower respiratory infection,22350,1264,1.26 [1.11-1.42],0.000348682571601
XRCC4,DNA repair protein XRCC4,Chapter XI Diseases of the digestive system,Gastrointestinal diseases,16334,8036,1.07 [1.02-1.13],0.0090901441391904
XRCC4,DNA repair protein XRCC4,Chapter XI Diseases of the digestive system,Noninfectious colitis NAS,21597,761,1.30 [1.12-1.52],0.0007053687092752
XRCC4,DNA repair protein XRCC4,Chapter XI Diseases of the digestive system,Noninfective enteritis and colitis,21898,1062,1.25 [1.10-1.43],0.0007982578209265
XRCC4,DNA repair protein XRCC4,Chapter XI Diseases of the digestive system,Other noninfective gastroenteritis and colitis,21772,936,1.23 [1.07-1.42],0.0042556910936604
XRCC4,DNA repair protein XRCC4,Chapter XII Diseases of the skin and subcutaneous tissue,Arthropathic psoriasis,22291,64,1.83 [1.22-2.74],0.0034284797337074
XRCC4,DNA repair protein XRCC4,Chapter XIII Diseases of the musculoskeletal system and connective tissue,"Other (seronegative) rheumatoid arthritis, wide",22476,529,1.31 [1.09-1.58],0.0034884520158129
XRCC4,DNA repair protein XRCC4,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Other arthrosis,16728,3049,1.13 [1.04-1.22],0.0032718669404717
XRCC4,DNA repair protein XRCC4,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Other psoriatic arthropathies,22633,61,1.87 [1.26-2.79],0.0020890424403432
XRCC4,DNA repair protein XRCC4,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Other/unspecified rheumatoid arthritis,22491,524,1.29 [1.07-1.55],0.007752193065323
XRCC4,DNA repair protein XRCC4,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Other/unspecified seropositive rheumatoid arthritis,22620,64,1.85 [1.31-2.62],0.0005463528755492
XRCC4,DNA repair protein XRCC4,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Polyarthropathies,16727,3048,1.13 [1.05-1.23],0.002465547997313
XRCC4,DNA repair protein XRCC4,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Psoriatic arthropathies,13741,62,1.80 [1.24-2.61],0.002183567683632
XRCC4,DNA repair protein XRCC4,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Rheumatoid arthritis,14215,536,1.35 [1.13-1.61],0.0007479396813182
XRCC4,DNA repair protein XRCC4,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Sciatica+with lumbago,18915,277,1.38 [1.08-1.75],0.0099885780686077
XRCC4,DNA repair protein XRCC4,Chapter XIII Diseases of the musculoskeletal system and connective tissue,"Seropositive rheumatoid arthritis, wide",22624,68,1.77 [1.24-2.53],0.0017767455281789
XRCC4,DNA repair protein XRCC4,Chapter XIV Diseases of the genitourinary system,"Other cystitis, drug-induced",22634,85,0.43 [0.24-0.77],0.0044104512462257
