Trait_category,Trait,Protein,Protein_definition,sample_size,Estimated_effect,se,lowerCI,upperCI,Pvalue
Working and living environment,X24003.Nitrogen dioxide air pollution; 2010,PSME2,Proteasome activator complex subunit 2,51659,0.0157746854714869,0.00298902661250856,0.00991619331097014,0.0216331776320037,1.32118489388871e-07
Working and living environment,X24003.Nitrogen dioxide air pollution; 2010,SLC4A1,Band 3 anion transport protein,48854,0.0212127564634518,0.00402263772164076,0.0133283865290359,0.0290971263978677,1.35334501831e-07
Working and living environment,X24003.Nitrogen dioxide air pollution; 2010,CXCL14,C-X-C motif chemokine 14,51550,-0.0251618837090935,0.00488166106997116,-0.034729939406237,-0.0155938280119501,2.56595019089424e-07
Working and living environment,X24003.Nitrogen dioxide air pollution; 2010,CENPF,Centromere protein F,48486,0.0227143981168328,0.00456107562848923,0.0137746898849939,0.0316541063486717,6.40992418882102e-07
Working and living environment,X24003.Nitrogen dioxide air pollution; 2010,DNAJC9,DnaJ homolog subfamily C member 9,48778,0.0307464103079979,0.00632388274227363,0.0183516001331416,0.0431412204828542,1.1710851232959e-06
Working and living environment,X24003.Nitrogen dioxide air pollution; 2010,SH3GLB2,Endophilin-B2,48794,0.0260558779298032,0.00552808304142272,0.0152208351686147,0.0368909206909917,2.45282938068274e-06
Working and living environment,X24003.Nitrogen dioxide air pollution; 2010,CAT,Catalase,48573,0.0209350587072365,0.00444511435244321,0.0122226345764478,0.0296474828380252,2.49775858005448e-06
Working and living environment,X24003.Nitrogen dioxide air pollution; 2010,PSME1,Proteasome activator complex subunit 1,51718,0.0143369451486373,0.00305775200073637,0.00834375122719405,0.0203301390700806,2.76487173457876e-06
Working and living environment,X24003.Nitrogen dioxide air pollution; 2010,NAP1L4,Nucleosome assembly protein 1-like 4,48734,0.0155052611115212,0.0033653046524333,0.00890926399275189,0.0221012582302904,4.10259331410918e-06
Working and living environment,X24003.Nitrogen dioxide air pollution; 2010,EIF4EBP1,Eukaryotic translation initiation factor 4E-binding protein 1,51955,0.0247085729716174,0.00538965984508337,0.014144839675254,0.0352723062679808,4.57562815261096e-06
Working and living environment,X24003.Nitrogen dioxide air pollution; 2010,ADGRE2,Adhesion G protein-coupled receptor E2,52044,0.0108799558166913,0.00238279318157554,0.00620968118080326,0.0155502304525794,4.99523092754269e-06
Working and living environment,X24003.Nitrogen dioxide air pollution; 2010,IMPACT,Protein IMPACT,48794,0.020696605367789,0.00453453071897527,0.0118089251585974,0.0295842855769805,5.04304169640779e-06
Working and living environment,X24003.Nitrogen dioxide air pollution; 2010,AARSD1,Alanyl-tRNA editing protein Aarsd1,51847,0.0208518750483517,0.00459329138249782,0.0118490239386559,0.0298547261580474,5.66336417680928e-06
Working and living environment,X24003.Nitrogen dioxide air pollution; 2010,ATXN3,Ataxin-3,48794,0.0232912527510916,0.00514069344453148,0.0132154935998099,0.0333670119023734,5.91083182094922e-06
