Trait_category,Trait,Protein,Protein_definition,sample_size,Estimated_effect,se,lowerCI,upperCI,Pvalue
Physical activities,X1070.Time spent watching television (TV),LYZL2,Lysozyme-like protein 2,47406,0.0125188286719464,0.0391244129742219,-0.0641650207575286,0.0892026781014214,0.748990941032603
Physical activities,X1070.Time spent watching television (TV),SLC13A1,Solute carrier family 13 member 1,48029,0.00745804583500685,0.0234763985066163,-0.038555695237961,0.0534717869079747,0.75072904396129
Physical activities,X1070.Time spent watching television (TV),CCDC28A,Coiled-coil domain-containing protein 28A,47578,0.0149847870428466,0.0473496689814056,-0.0778205641607084,0.107790138246402,0.751648675485568
Physical activities,X1070.Time spent watching television (TV),KLK8,Kallikrein-8,50331,-0.0107209607400864,0.0340515421972922,-0.0774619834467791,0.0560200619666063,0.752882300383263
Physical activities,X1070.Time spent watching television (TV),ART5,Ecto-ADP-ribosyltransferase 5,47467,0.00721928368742267,0.0229423065930774,-0.037747637235009,0.0521862046098544,0.753014775181817
Physical activities,X1070.Time spent watching television (TV),CEACAM18,Carcinoembryonic antigen-related cell adhesion molecule 18,47754,0.00633691791326856,0.0203538096146594,-0.0335565489314639,0.046230384758001,0.755546938355699
Physical activities,X1070.Time spent watching television (TV),CLNS1A,Methylosome subunit pICln,47578,-0.0128184294400414,0.041185165064999,-0.0935413529674394,0.0679044940873566,0.755622358092973
Physical activities,X1070.Time spent watching television (TV),GAS6,Growth arrest-specific protein 6,51239,0.0145967016339701,0.0470438998089825,-0.0776093419916356,0.106802745259576,0.756352181724942
Physical activities,X1070.Time spent watching television (TV),HIF1A,Hypoxia-inducible factor 1-alpha,47519,0.00692705926847382,0.0224607720764228,-0.0370960540013149,0.0509501725382626,0.757776054102822
Physical activities,X1070.Time spent watching television (TV),NEXN,Nexilin,48120,0.00606950804861964,0.0197410567562511,-0.0326229631936325,0.0447619792908718,0.75849952359468
Physical activities,X1070.Time spent watching television (TV),CPA1,Carboxypeptidase A1,51377,-0.00562789458662895,0.0183781082805921,-0.0416489868165896,0.0303931976433316,0.759433719534738
Physical activities,X1070.Time spent watching television (TV),BCAM,Basal cell adhesion molecule,51090,-0.0148714130084448,0.0485738139347537,-0.110076088320562,0.0803332623036725,0.759484811926648
Physical activities,X1070.Time spent watching television (TV),EGFLAM,Pikachurin,48026,0.0137113905164528,0.0450089768871306,-0.0745062041823232,0.101928985215229,0.7606460555147
Physical activities,X1070.Time spent watching television (TV),PDE1C,"Calcium/calmodulin-dependent 3',5'-cyclic nucleotide phosphodiesterase 1C",47406,0.00804095134082698,0.0265517668957541,-0.0440005117748511,0.060082414456505,0.762014738912564
