Disease_category,Disease,Protein,Protein_definition,NB_individual,NB_case,HR[95%CI],P_value
Chapter XI Diseases of the digestive system,Collagenous colitis,BAMBI,BMP and activin membrane-bound inhibitor homolog,20952,102,2.84 [1.76-4.60],2.035466966232232e-05
Chapter XI Diseases of the digestive system,Collagenous colitis,CHGB,Secretogranin-1,21531,103,2.37 [1.64-3.43],4.280106627057909e-06
Chapter XI Diseases of the digestive system,Collagenous colitis,CXCL9,C-X-C motif chemokine 9,21510,100,1.66 [1.36-2.02],4.053535636096273e-07
Chapter XI Diseases of the digestive system,Collagenous colitis,EDA2R,Tumor necrosis factor receptor superfamily member 27,21595,104,2.47 [1.67-3.65],6.368559215336315e-06
Chapter XI Diseases of the digestive system,Collagenous colitis,IL12A_IL12B,Interleukin-12,21326,102,1.48 [1.22-1.80],9.197322437710217e-05
Chapter XI Diseases of the digestive system,Collagenous colitis,IL2RA,Interleukin-2 receptor subunit alpha,21276,102,2.21 [1.57-3.11],5.71463590011334e-06
Chapter XI Diseases of the digestive system,Collagenous colitis,MIA,Melanoma-derived growth regulatory protein,21507,100,2.30 [1.55-3.40],3.307531337955896e-05
Chapter XI Diseases of the digestive system,Collagenous colitis,MMP12,Macrophage metalloelastase,21424,104,2.03 [1.52-2.71],1.3159032276075008e-06
Chapter XI Diseases of the digestive system,Collagenous colitis,MMP3,Stromelysin-1,21444,103,1.80 [1.34-2.42],8.309468851441843e-05
Chapter XI Diseases of the digestive system,Collagenous colitis,NTproBNP,N-terminal prohormone of brain natriuretic peptide,21430,102,1.34 [1.16-1.55],5.824027585197216e-05
Chapter XI Diseases of the digestive system,Collagenous colitis,OGN,Mimecan,21444,103,2.16 [1.49-3.14],5.372006963710834e-05
Chapter XI Diseases of the digestive system,Collagenous colitis,PLAUR,Urokinase plasminogen activator surface receptor,21276,97,3.80 [2.10-6.86],9.79656436102606e-06
Chapter XI Diseases of the digestive system,Collagenous colitis,PTGDS,Prostaglandin-H2 D-isomerase,21283,102,2.54 [1.59-4.05],9.213551291232722e-05
Chapter XI Diseases of the digestive system,Collagenous colitis,TNFRSF4,Tumor necrosis factor receptor superfamily member 4,21609,104,2.27 [1.57-3.29],1.4397989158935565e-05
Chapter XI Diseases of the digestive system,Collagenous colitis,TNFRSF8,Tumor necrosis factor receptor superfamily member 8,21596,104,1.91 [1.40-2.60],4.323397155806088e-05
Chapter XI Diseases of the digestive system,Collagenous colitis,TNFRSF9,Tumor necrosis factor receptor superfamily member 9,21227,100,1.88 [1.41-2.52],1.909887001154231e-05
Chapter XI Diseases of the digestive system,Collagenous colitis,WFDC2,WAP four-disulfide core domain protein 2,20358,95,2.11 [1.47-3.02],4.9933021255277565e-05
