Disease_category,Disease,Protein,Protein_definition,NB_individual,NB_case,OR[95%CI],P_value
Chapter XI Diseases of the digestive system,Oral lichen ruber planus,ADCYAP1R1,Pituitary adenylate cyclase-activating polypeptide type I receptor,23062,54,1.55 [1.14-2.11],0.0055049768819523
Chapter XI Diseases of the digestive system,Oral lichen ruber planus,BPIFB2,BPI fold-containing family B member 2,20431,50,1.80 [1.30-2.51],0.0004850086623668
Chapter XI Diseases of the digestive system,Oral lichen ruber planus,CCL2,C-C motif chemokine 2,23373,53,0.51 [0.31-0.83],0.0070871539855065
Chapter XI Diseases of the digestive system,Oral lichen ruber planus,CEP152,Centrosomal protein of 152 kDa,19751,50,1.70 [1.14-2.53],0.0095156314163458
Chapter XI Diseases of the digestive system,Oral lichen ruber planus,CSF3R,Granulocyte colony-stimulating factor receptor,19873,51,2.39 [1.27-4.48],0.0066507778677942
Chapter XI Diseases of the digestive system,Oral lichen ruber planus,DGKZ,Diacylglycerol kinase zeta,23209,54,2.19 [1.32-3.61],0.0022253051712371
Chapter XI Diseases of the digestive system,Oral lichen ruber planus,ENTPD6,Ectonucleoside triphosphate diphosphohydrolase 6,23186,55,0.38 [0.20-0.70],0.002121218962355
Chapter XI Diseases of the digestive system,Oral lichen ruber planus,ERN1,Serine/threonine-protein kinase/endoribonuclease IRE1,20397,51,2.15 [1.27-3.64],0.004580475575824
Chapter XI Diseases of the digestive system,Oral lichen ruber planus,ERVV-1,Endogenous retrovirus group V member 1 Env polyprotein,19776,50,1.85 [1.19-2.89],0.0063646321121794
Chapter XI Diseases of the digestive system,Oral lichen ruber planus,FCRL6,Fc receptor-like protein 6,23592,53,1.77 [1.24-2.52],0.001733008628805
Chapter XI Diseases of the digestive system,Oral lichen ruber planus,IL20RA,Interleukin-20 receptor subunit alpha,23209,54,1.51 [1.12-2.05],0.0072917463662962
Chapter XI Diseases of the digestive system,Oral lichen ruber planus,LTBP3,Latent-transforming growth factor beta-binding protein 3,23062,54,1.62 [1.21-2.19],0.0013817172699898
Chapter XI Diseases of the digestive system,Oral lichen ruber planus,MBL2,Mannose-binding protein C,20208,49,1.45 [1.10-1.90],0.0074828145955571
Chapter XI Diseases of the digestive system,Oral lichen ruber planus,MCEE,"Methylmalonyl-CoA epimerase, mitochondrial",20428,50,0.34 [0.15-0.76],0.0086935036172766
Chapter XI Diseases of the digestive system,Oral lichen ruber planus,MKI67,Proliferation marker protein Ki-67,19873,51,1.84 [1.32-2.57],0.000344910390559
Chapter XI Diseases of the digestive system,Oral lichen ruber planus,PMS1,PMS1 protein homolog 1,19924,48,1.77 [1.26-2.49],0.0009997332725394
Chapter XI Diseases of the digestive system,Oral lichen ruber planus,SLAMF8,SLAM family member 8,23062,54,2.00 [1.30-3.07],0.0015730118469648
Chapter XI Diseases of the digestive system,Oral lichen ruber planus,TNC,Tenascin,23731,55,1.86 [1.17-2.97],0.0085500236532733
Chapter XI Diseases of the digestive system,Oral lichen ruber planus,TNFRSF13C,Tumor necrosis factor receptor superfamily member 13C,23209,54,1.79 [1.18-2.72],0.006259778926907
